OP01497440035029020190416N        1858        MERCURY S.R.L.                                                        VIA SEMINELLA,50N/1-2                                                 BUSALLA                            16012    GEIT 1858        MERCURY S.R.L.                                                        VIA SEMINELLA,50N/1-2                                                 BUSALLA                            16012    GEIT SEDEKLOG01315690998                                   ST                                           19/07527       20190416ND                                       *                             010/7261937    Vend. cliente                 NRD                                                          0000000000000099                                  GENOVA                            GE02                          GENOVA                            GE02
DP0149744003502900000018034052237505                           0000168PC                 
DP0149744003502900000028034052237512                           0000178PC                 
DP0149744003502900000038034052318877                           0000008PC                 
DP0149744003502900000048034052318884                           0000005PC                 
DP0149744003502900000058034052318921                           0000002ST                 
DP0149744003502900000068034052318952                           0000022PC                 
DP0149744003502900000138034052548694                           0000004PC                 
DP0149744003502900000148034052548755                           0000004PC                 
DP0149744003502900000078034052548007                           0000003PC                 
DP0149744003502900000088034052548021                           0000003PC                 
DP0149744003502900000098034052548632                           0000003PC                 
DP0149744003502900000108034052548649                           0000004PC                 
DP0149744003502900000118034052548656                           0000004PC                 
DP0149744003502900000128034052548687                           0000004PC                 
DP0149744003502900000158034052548779                           0000004PC                 
DP0149744003502900000168034052548793                           0000007PC                 
DP0149744003502900000178034052549097                           0000001ST                 
DP0149744003502900000188034052549165                           0000006PC                 
DP0149744003502900000198034052549172                           0000004PC                 
DP0149744003502900000208034052549257                           0000002PC                 
DP0149744003502900000218034052549578                           0000004PC                 
DP0149744003502900000228034052549585                           0000001PC                 
DP0149744003502900000238034052549592                           0000001PC                 
DP0149744003502900000248034052549608                           0000001PC                 
DP0149744003502900000258034052549615                           0000001PC                 
